,Casi,Tamponi,Ospedalizzati,TI,Deceduti
10/03/2022,13214498,191387173,8414,545,156493
11/03/2022,13268459,191812811,8274,527,156649
12/03/2022,13323128,192230588,8234,513,156782
13/03/2022,13373207,192560616,8240,516,156868
14/03/2022,13402905,192765493,8468,518,156997
15/03/2022,13489319,193352508,8473,502,157177
16/03/2022,13563466,193843219,8410,477,157314
17/03/2022,13645834,194373101,8397,473,157442
18/03/2022,13724411,194863984,8403,474,157607
19/03/2022,13800179,195342035,8319,471,157692
20/03/2022,13861743,195712501,8430,467,157785
21/03/2022,13895188,195930717,8728,463,157904
22/03/2022,13992092,196572613,8969,455,158101
23/03/2022,14070450,197086357,8939,466,158254
24/03/2022,14153098,197631659,9029,447,158436
25/03/2022,14229495,198135632,8994,447,158582
26/03/2022,14304111,198639817,9023,452,158700
27/03/2022,14364723,199024140,9181,464,158782
28/03/2022,14396283,199235675,9496,487,158877
29/03/2022,14496579,199896383,9740,487,159054
30/03/2022,14567990,200421282,9871,481,159224
31/03/2022,14642354,200908095,9898,468,159383
01/04/2022,14719394,201422918,9981,476,159537
02/04/2022,14790806,201899959,9949,493,159666
03/04/2022,14845815,202264141,10017,489,159784
04/04/2022,14877144,203647359,10241,483,159909
05/04/2022,14966058,204235935,10246,471,160103
06/04/2022,15035943,204697383,10164,466,160252
07/04/2022,15106066,205167186,10078,471,160402
08/04/2022,15173707,205609215,10102,462,160546
09/04/2022,15238128,206047664,10023,462,160658
10/04/2022,15292048,206399929,10038,465,160748
11/04/2022,15320753,206592711,10256,466,160863
12/04/2022,15404809,207155729,10207,463,161032
13/04/2022,15467395,207575724,10166,449,161187
14/04/2022,15533012,208014099,10075,420,161336
15/04/2022,15595302,208411581,9980,419,161469
16/04/2022,15659835,208836063,9878,411,161602
17/04/2022,15712088,209170287,9758,403,161687
18/04/2022,15730676,209276026,9940,411,161766
19/04/2022,15758002,209450124,10214,422,161893
20/04/2022,15858442,210060724,10207,413,162098
21/04/2022,15934437,210506904,10231,415,162264
22/04/2022,16008181,210944097,10076,411,162466
23/04/2022,16079209,211365630,9914,409,162609
24/04/2022,16136057,211691841,9895,416,162688
25/04/2022,16161339,211830644,10050,416,162781
26/04/2022,16191323,212013319,10328,409,162927
27/04/2022,16279754,212567845,10155,394,163113
28/04/2022,16349788,213009371,10076,382,163244
29/04/2022,16409183,213390610,9942,371,163377
30/04/2022,16463200,213773683,9826,366,163507
01/05/2022,16504791,214061284,9738,366,163612
02/05/2022,16523859,214183728,9794,368,163736
03/05/2022,16586268,214594775,9695,366,163889
04/05/2022,16633911,214930050,9614,371,164041
05/05/2022,16682626,215257228,9384,369,164179
06/05/2022,16726990,215559634,9164,363,164304
07/05/2022,16767773,215865197,8815,355,164417
08/05/2022,16798998,216068651,8655,356,164489
09/05/2022,16816419,216195210,8735,363,164573
10/05/2022,16872618,216566431,8579,358,164731
11/05/2022,16915301,216861042,8412,338,164846
12/05/2022,16954784,217129696,8158,334,164976
13/05/2022,16993813,217395343,7907,341,165091
14/05/2022,17030147,217659090,7650,340,165182
15/05/2022,17057873,217853667,7532,347,165244
16/05/2022,17071649,217958460,7631,353,165346
17/05/2022,17116550,218293677,7465,337,165494
18/05/2022,17147477,218557950,7276,318,165630
19/05/2022,17178199,218805421,7020,308,165738
20/05/2022,17205017,219039166,6812,307,165827
21/05/2022,17229263,219271097,6570,301,165918
22/05/2022,17247552,219432092,6400,292,165952
23/05/2022,17257573,219525905,6388,291,166032
24/05/2022,17289433,219814768,6240,286,166150
25/05/2022,17312432,220034869,5969,271,166264
26/05/2022,17335068,220251857,5736,259,166371
27/05/2022,17355119,220450754,5558,252,166476
28/05/2022,17373741,220643937,5348,250,166542
29/05/2022,17388877,220786003,5234,260,166569
30/05/2022,17396723,220866180,5281,255,166631
31/05/2022,17421410,221108240,5121,248,166697
01/06/2022,17440232,221300348,4878,223,166756
02/06/2022,17457950,221481403,4589,226,166835
03/06/2022,17467642,221552092,4644,225,166875
04/06/2022,17490451,221741088,4442,218,166922
05/06/2022,17505973,221864787,4411,218,166949
06/06/2022,17514589,221939797,4453,217,167019
07/06/2022,17543136,222173350,4342,219,167089
08/06/2022,17566061,222361374,4296,199,167169
09/06/2022,17589595,222540501,4234,197,167242
10/06/2022,17611607,222710598,4162,196,167305
11/06/2022,17634065,222897832,4076,193,167365
12/06/2022,17653375,223025536,4118,183,167391
13/06/2022,17664043,223100172,4210,193,167432
14/06/2022,17703887,223328731,4199,183,167505
15/06/2022,17736696,223524170,4218,189,167553
16/06/2022,17773764,223718846,4303,192,167617
17/06/2022,17809934,223904665,4320,191,167658
18/06/2022,17844905,224097705,4331,193,167703
19/06/2022,17879160,224257916,4398,199,167721
20/06/2022,17896065,224337291,4585,209,167780
21/06/2022,17959329,224629636,4803,206,167842
22/06/2022,18014202,224876148,4947,216,167892
23/06/2022,18071634,225124190,5064,216,167967
24/06/2022,18128044,225362259,5205,225,168018
25/06/2022,18184917,225613163,5342,225,168058
26/06/2022,18234242,225812503,5532,227,168102
27/06/2022,18259261,225913462,5873,234,168165
28/06/2022,18343422,226243590,6035,237,168234
29/06/2022,18438877,226600800,6254,248,168294
30/06/2022,18523111,226896830,6592,261,168353
01/07/2022,18610011,227212870,6830,264,168425
02/07/2022,18695954,227538458,7035,275,168488
03/07/2022,18768871,227801015,7212,291,168545
04/07/2022,18805756,227930923,7648,303,168604
05/07/2022,18938771,228395655,8003,323,168698
06/07/2022,19048788,228775690,8220,325,168770
07/07/2022,19157174,229153940,8552,343,168864
08/07/2022,19259037,229525814,8632,361,168969
09/07/2022,19357938,229915390,8864,344,169062
10/07/2022,19439501,230219238,9044,350,169106
11/07/2022,19523262,230407391,9454,360,169233
12/07/2022,19667320,230958097,9724,375,169390
13/07/2022,19778911,231368532,9826,388,169496
14/07/2022,19887543,231776628,10115,391,169601
15/07/2022,19985479,232167636,10363,395,169735
16/07/2022,20076863,232565974,10434,405,169846
17/07/2022,20145859,232863728,10576,403,169925
18/07/2022,20177910,232999370,10848,417,170037
19/07/2022,20299013,233518654,10975,413,170213
20/07/2022,20385814,233898775,11037,410,170370
21/07/2022,20467349,234264775,10984,410,170527
22/07/2022,20539016,234605966,10944,405,170682
23/07/2022,20608190,234956596,10857,408,170798
24/07/2022,20660065,235218628,10925,405,170875
25/07/2022,20684182,235341178,11081,426,170979
26/07/2022,20772833,235787896,11124,434,171232
27/07/2022,20837233,236105616,11094,424,171439
28/07/2022,20898059,236401920,10911,406,171638
29/07/2022,20952476,236683578,10768,400,171882
30/07/2022,21002773,236973591,10602,382,172003
31/07/2022,21040025,237178494,10499,388,172086
01/08/2022,21059545,237284333,10527,398,172207
02/08/2022,21124644,237638764,10245,386,172397
03/08/2022,21170600,237894561,10006,396,172568
04/08/2022,21213559,238136571,9734,362,172729
05/08/2022,21251774,238360423,9397,351,172904
06/08/2022,21286771,238589603,9023,336,173062
07/08/2022,21313427,238756084,8926,342,173136
08/08/2022,21325402,238831686,9052,339,173249
09/08/2022,21368480,239104181,8816,331,173426
10/08/2022,21400179,239305690,8592,321,173571
11/08/2022,21428602,239494831,8358,321,173701
12/08/2022,21455291,239672650,8043,306,173853
13/08/2022,21480076,239857770,7755,291,173982
14/08/2022,21499531,239989072,7543,298,174060
15/08/2022,21509424,240053178,7504,301,174102
16/08/2022,21518365,240116727,7544,299,174172
17/08/2022,21554626,240345434,7339,288,174300
18/08/2022,21581917,240512619,7025,268,174447
19/08/2022,21606606,240671524,6782,260,174571
20/08/2022,21630998,240836328,6528,256,174659
21/08/2022,21650468,240954848,6442,262,174722
22/08/2022,21660885,241018036,6516,255,174797
23/08/2022,21696242,241225797,6378,254,174931
24/08/2022,21721630,241400024,6170,239,175043
25/08/2022,21745065,241554167,6004,234,175127
26/08/2022,21767060,241702579,5827,231,175226
27/08/2022,21788862,241860865,5668,227,175306
28/08/2022,21806509,241978632,5628,229,175347
29/08/2022,21814856,242041599,5631,229,175407
30/08/2022,21845943,242250595,5427,226,175505
31/08/2022,21867757,242418090,5091,213,175595
01/09/2022,21888255,242573841,4962,207,175663
02/09/2022,21907413,242732811,4819,195,175754
03/09/2022,21925073,242885263,4630,188,175802
04/09/2022,21938269,242997209,4573,190,175832
05/09/2022,21944877,243061031,4566,185,175872
06/09/2022,21969725,243263271,4459,185,175952
07/09/2022,21987295,243426378,4299,184,176009
08/09/2022,22004612,243575875,4150,185,176098
09/09/2022,22020154,243713008,4017,172,176157
10/09/2022,22035717,243853373,3936,173,176175
11/09/2022,22048032,243962017,3923,180,176209
12/09/2022,22054443,244019536,3989,176,176242
13/09/2022,22077601,244203747,3868,163,176335
14/09/2022,22096450,244375204,3719,151,176404
